RPU Solicitante,Solicitud PA,Solicitud SIA,Solixtra SIA,ID Presup,Programa,Sufijo SICOM,Fecha Alta SICOM,Fecha Alta PA,Fecha Pago,Total Prestamo,Total Capital,Total Interes,Total IVA,Dif Total,Dif Capital,Dif Interes,Dif IVA,ID Promo
772930600396,493393,YU000109,5,RU118662,5,1,20190123,20190123,2019-01-29,13920.2,9360.01,3931.2,628.992,774,520.66,218.4,34.94,0
773130401928,493401,YU000217,1,RU118551,5,1,20190123,20190123,2019-01-29,13920.2,9360.01,3931.2,628.992,774,520.66,218.4,34.94,0
774941102668,493428,YU000224,1,RU118631,5,2,20190124,20190124,2019-01-29,13920.2,9360.01,3931.2,628.992,774,520.66,218.4,34.94,0
776120805736,493437,YU000194,2,RU118401,5,1,20190124,20190124,2019-01-29,13920.2,9360.01,3931.2,628.992,774,520.66,218.4,34.94,0
774940800621,493468,YU000019,3,RU118385,5,2,20190125,20190125,2019-01-29,13920.2,9360.01,3931.2,628.992,774,520.66,218.4,34.94,0
776150604212,493469,YU000218,1,RU118563,5,1,20190125,20190125,2019-01-29,13920.2,9360.01,3931.2,628.992,774,520.66,218.4,34.94,0
774960802115,493478,YU000023,2,RU118383,5,2,20190125,20190125,2019-01-29,13920.2,9360.01,3931.2,628.992,774,520.66,218.4,34.94,0
774941104920,493481,YU000223,3,RU118696,5,1,20190125,20190125,2019-01-29,13920.2,9360.01,3931.2,628.992,774,520.66,218.4,34.94,0
770120800213,493490,YU000245,1,RU118979,5,1,20190125,20190125,2019-02-01,16825.92,10200,5712,913.92,702,425.92,238,38.08,0
772060500820,493497,YU000219,1,RU118568,5,2,20190125,20190125,2019-01-29,13920.2,9360.01,3931.2,628.992,774,520.66,218.4,34.94,0
776110403575,493589,YU000216,1,RU118527,5,1,20190129,20190129,2019-02-01,13920.2,9360.01,3931.2,628.992,774,520.66,218.4,34.94,0
774110300633,493664,YU000248,1,RU119039,5,1,20190201,20190201,2019-02-05,13920.2,9360.01,3931.2,628.992,774,520.66,218.4,34.94,0
774950303170,493665,YU000261,1,RU119097,5,1,20190201,20190201,2019-02-05,13920.2,9360.01,3931.2,628.992,774,520.66,218.4,34.94,0
777071001649,493676,YU000063,4,RU118926,5,2,20190201,20190201,2019-02-05,13920.2,9360.01,3931.2,628.992,774,520.66,218.4,34.94,0
774121001140,493677,YU000069,3,RU119162,5,1,20190201,20190201,2019-02-05,13920.2,9360.01,3931.2,628.992,774,520.66,218.4,34.94,0
774961001329,493678,YU000246,1,RU119108,5,2,20190201,20190201,2019-02-05,13920.2,9360.01,3931.2,628.992,774,520.66,218.4,34.94,0
774941103109,493679,YU000014,3,RU118632,5,1,20190201,20190201,2019-02-05,13920.2,9360.01,3931.2,628.992,774,520.66,218.4,34.94,0
774001056251,493681,YU000191,3,RU118919,5,1,20190201,20190201,2019-02-05,13920.2,9360.01,3931.2,628.992,774,520.66,218.4,34.94,0
774060603222,493682,YU000241,2,RU119181,5,1,20190201,20190201,2019-02-05,13920.2,9360.01,3931.2,628.992,774,520.66,218.4,34.94,0
772820200694,493689,YU000262,1,RU119102,5,2,20190201,20190201,2019-02-05,13920.2,9360.01,3931.2,628.992,774,520.66,218.4,34.94,0
773870700821,493693,YU000252,2,RU119117,5,2,20190201,20190201,2019-02-05,13920.2,9360.01,3931.2,628.992,774,520.66,218.4,34.94,0
774750304465,493730,YU000212,1,SU106126,7,2,20190205,20190205,2019-02-08,18228.08,11050,6188,990.08,760,460.92,257.83,41.25,0
778840600069,493745,YU000254,2,RU119174,5,1,20190206,20190206,2019-02-15,13920.2,9360.01,3931.2,628.992,774,520.66,218.4,34.94,0
777141200211,493746,YU000255,1,RU119089,5,1,20190206,20190206,2019-02-15,13920.2,9360.01,3931.2,628.992,774,520.66,218.4,34.94,0
776130505838,493832,YU000154,3,RU118903,5,1,20190211,20190211,2019-02-15,13920.2,9360.01,3931.2,628.992,774,520.66,218.4,34.94,0
776000656664,493833,YU000156,2,RU118893,5,2,20190211,20190211,2019-02-15,13920.2,9360.01,3931.2,628.992,774,520.66,218.4,34.94,0
776001256121,493834,YU000181,2,RU119011,5,2,20190211,20190211,2019-02-15,13920.2,9360.01,3931.2,628.992,774,520.66,218.4,34.94,0
